project_name,SKU,ASIN,头程单价,FOB单价
骏成,JTZ-M35-12,B0DHH21H43,0.03862069,2.95862069
骏成,JTZ-M35-78,B0DHH13CRL,0.077241379,5.537931034
骏成,JTZ-M35-118,B0DHGYK6Q6,0.115862069,7.206896552
骏成,JTZ-42-6S,B0DHGY34YM,0.579310345,9.482758621
骏成,JTZ-42-3ZS,B0DHGYWJMK,0.144827586,3.337931034
骏成,JTZ-42-3LX,B0DHH445WD,0.173793103,5.006896552
骏成,JTZ-42-11S,B0DHGYGTB3,0.675862069,12.59310345
博智,WT-DRL-13PCS,B0DHV4CZQM,0.33,2.92
博智,WT-DRL-15PCS,B0DHV38TXG,0.33,2.92
博智,WT-DRL-BG29PCS,B0DHV54C4Q,1.08,12.78
博智,WT-DRL-M115PCS,B0DHTZRTSR,2.46,50.42
博智,WT-STEP-4S34,B0DHVPQ2HH,0.05,3.33
博智,WT-STEP-4S12,B0DHVL4VYG,0.03,1.53
博智,WT-STEP-4S78,B0DHVMM2WZ,0.07,3.75
博智,WT-STEP-4S3PCS,B0DHVQB83Y,0.14,9.72
博智,WT-STEP-2L6PCS,B0DHVP4ZSW,0.51,6.67
博智,WT-STEP-2LBG6PCS,B0DHVQS1B4,0.51,6.67
博智,WT-STEP-5M6PCS,B0DHVNBTQH,0.43,3
博智,WT-DRL-21PCS,B0DYMLMWXH,1.11,11.37
博智,WT-DRL-29PCS,B0DYMYCZXK,1.66,16.49
金石,2P Long-Large-Beige,B0F6W9LKCQ,0.73,8.33
金石,2P Long-Large-Dark Grey,B0F6XK8MQH,0.73,8.33
金石,2P Long-Large-Green,B0F8B8RVHZ,0.73,8.33
金石,2P Long-Large-Light Grey,B0F6XVCV2Y,0.73,8.33
金石,2P Long-Large-Navy Blue,B0F6XKBBF4,0.73,8.33
金石,2P Long-Large-Pink,B0F6XZXJTS,0.73,8.33
金石,2P Long-Medium-Beige,B0F6X377WY,0.73,8.33
金石,2P Long-Medium-Dark Grey,B0F6Y1ZZDX,0.73,8.33
金石,2P Long-Medium-Green,B0F8B896SN,0.73,8.33
金石,2P Long-Medium-Light Grey,B0F6WBFTM3,0.73,8.33
金石,2P Long-Medium-Navy Blue,B0F6Y6QYWJ,0.73,8.33
